time,windmag
2023-01-03 18:00:00,4.0626256
2023-01-03 18:01:00,3.9654336
2023-01-03 18:02:00,3.9654336
2023-01-03 18:03:00,4.0626256
2023-01-03 18:04:00,4.0626256
2023-01-03 18:05:00,4.0626256
2023-01-03 18:06:00,4.159817599999999
2023-01-03 18:07:00,4.257009599999999
2023-01-03 18:08:00,4.37364
2023-01-03 18:09:00,4.470832
2023-01-03 18:10:00,4.568023999999999
2023-01-03 18:11:00,4.665215999999999
2023-01-03 18:12:00,4.762408
2023-01-03 18:13:00,4.762408
2023-01-03 18:14:00,4.8596
2023-01-03 18:15:00,4.956792
2023-01-03 18:16:00,4.956792
2023-01-03 18:17:00,4.8596
2023-01-03 18:18:00,4.8596
2023-01-03 18:19:00,4.8596
2023-01-03 18:20:00,4.8596
2023-01-03 18:21:00,4.8596
2023-01-03 18:22:00,4.762408
2023-01-03 18:23:00,4.665215999999999
2023-01-03 18:24:00,4.665215999999999
2023-01-03 18:25:00,4.665215999999999
2023-01-03 18:26:00,4.665215999999999
2023-01-03 18:27:00,4.665215999999999
2023-01-03 18:28:00,4.665216
2023-01-03 18:29:00,4.568023999999999
2023-01-03 18:30:00,4.470832
2023-01-03 18:31:00,4.37364
2023-01-03 18:32:00,4.37364
2023-01-03 18:33:00,4.470832
2023-01-03 18:34:00,4.470832
2023-01-03 18:35:00,4.470832
2023-01-03 18:36:00,4.470832
2023-01-03 18:37:00,4.568023999999999
2023-01-03 18:38:00,4.665215999999999
2023-01-03 18:39:00,4.762408
2023-01-03 18:40:00,4.956792
2023-01-03 18:41:00,5.151176
2023-01-03 18:42:00,5.151176
2023-01-03 18:43:00,5.151176
2023-01-03 18:44:00,5.151176
2023-01-03 18:45:00,5.151176
2023-01-03 18:46:00,5.053984
2023-01-03 18:47:00,4.956792
2023-01-03 18:48:00,4.8596
2023-01-03 18:49:00,4.762408
2023-01-03 18:50:00,4.568023999999999
2023-01-03 18:51:00,4.37364
2023-01-03 18:52:00,4.37364
2023-01-03 18:53:00,4.276448
2023-01-03 18:54:00,4.0626256
2023-01-03 18:55:00,3.8488032
2023-01-03 18:56:00,3.7321728
2023-01-03 18:57:00,3.5183504
2023-01-03 18:58:00,3.40172
2023-01-03 18:59:00,3.2850896
2023-01-03 19:00:00,3.2850896
2023-01-03 19:01:00,3.2850896
2023-01-03 19:02:00,3.2850896
2023-01-03 19:03:00,3.2850896
2023-01-03 19:04:00,3.40172
2023-01-03 19:05:00,3.5183504
2023-01-03 19:06:00,3.6349808
2023-01-03 19:07:00,3.8488032
2023-01-03 19:08:00,3.9654336
2023-01-03 19:09:00,4.082064
2023-01-03 19:10:00,4.082064
2023-01-03 19:11:00,4.082064
2023-01-03 19:12:00,4.082064
2023-01-03 19:13:00,4.082064
2023-01-03 19:14:00,4.082064
2023-01-03 19:15:00,4.082064
2023-01-03 19:16:00,4.082064
2023-01-03 19:17:00,4.179256
2023-01-03 19:18:00,4.276448
2023-01-03 19:19:00,4.37364
2023-01-03 19:20:00,4.470832
2023-01-03 19:21:00,4.568023999999999
2023-01-03 19:22:00,4.665215999999999
2023-01-03 19:23:00,4.762408
2023-01-03 19:24:00,4.8596
2023-01-03 19:25:00,4.956791999999999
2023-01-03 19:26:00,4.956792
2023-01-03 19:27:00,4.8596
2023-01-03 19:28:00,4.762408
2023-01-03 19:29:00,4.665216
2023-01-03 19:30:00,4.568023999999999
2023-01-03 19:31:00,4.568023999999999
2023-01-03 19:32:00,4.665216
2023-01-03 19:33:00,4.665216
2023-01-03 19:34:00,4.665216
2023-01-03 19:35:00,4.568023999999999
2023-01-03 19:36:00,4.665215999999999
2023-01-03 19:37:00,4.665215999999999
2023-01-03 19:38:00,4.665216
2023-01-03 19:39:00,4.665215999999999
2023-01-03 19:40:00,4.665216
2023-01-03 19:41:00,4.568024
2023-01-03 19:42:00,4.37364
2023-01-03 19:43:00,4.276448
2023-01-03 19:44:00,4.179256
2023-01-03 19:45:00,4.276447999999999
2023-01-03 19:46:00,4.276447999999999
2023-01-03 19:47:00,4.276448
2023-01-03 19:48:00,4.276448
2023-01-03 19:49:00,4.276448
2023-01-03 19:50:00,4.276448
2023-01-03 19:51:00,4.276448
2023-01-03 19:52:00,4.276448
2023-01-03 19:53:00,4.276448
2023-01-03 19:54:00,4.276448
2023-01-03 19:55:00,4.1792560000000005
2023-01-03 19:56:00,4.082064
2023-01-03 19:57:00,4.082064
2023-01-03 19:58:00,4.082064
2023-01-03 19:59:00,4.082064
2023-01-03 20:00:00,4.082064
2023-01-03 20:01:00,4.082064
2023-01-03 20:02:00,4.1792560000000005
2023-01-03 20:03:00,4.179256
2023-01-03 20:04:00,4.276447999999999
2023-01-03 20:05:00,4.37364
2023-01-03 20:06:00,4.470832
2023-01-03 20:07:00,4.568023999999999
2023-01-03 20:08:00,4.665215999999999
2023-01-03 20:09:00,4.762407999999999
2023-01-03 20:10:00,4.8596
2023-01-03 20:11:00,5.053984
2023-01-03 20:12:00,5.053984
2023-01-03 20:13:00,5.248367999999999
2023-01-03 20:14:00,5.248367999999999
2023-01-03 20:15:00,5.34556
2023-01-03 20:16:00,5.345560000000001
2023-01-03 20:17:00,5.4427520000000005
2023-01-03 20:18:00,5.637136
2023-01-03 20:19:00,5.734328
2023-01-03 20:20:00,5.83152
2023-01-03 20:21:00,5.83152
2023-01-03 20:22:00,5.928712
2023-01-03 20:23:00,5.928712000000001
2023-01-03 20:24:00,6.025904
2023-01-03 20:25:00,6.025904000000001
2023-01-03 20:26:00,6.123096
2023-01-03 20:27:00,6.220288
2023-01-03 20:28:00,6.220288000000001
2023-01-03 20:29:00,6.220288000000001
2023-01-03 20:30:00,6.220288000000001
2023-01-03 20:31:00,6.220288000000001
2023-01-03 20:32:00,6.220288000000001
2023-01-03 20:33:00,6.317480000000001
2023-01-03 20:34:00,6.317480000000001
2023-01-03 20:35:00,6.414672
2023-01-03 20:36:00,6.511864000000001
2023-01-03 20:37:00,6.414672
2023-01-03 20:38:00,6.317480000000001
2023-01-03 20:39:00,6.414672
2023-01-03 20:40:00,6.414672
2023-01-03 20:41:00,6.414672
2023-01-03 20:42:00,6.511864
2023-01-03 20:43:00,6.511864
2023-01-03 20:44:00,6.511864000000001
2023-01-03 20:45:00,6.511864000000001
2023-01-03 20:46:00,6.414672
2023-01-03 20:47:00,6.511864
2023-01-03 20:48:00,6.706248
2023-01-03 20:49:00,6.706248
2023-01-03 20:50:00,6.80344
2023-01-03 20:51:00,7.095016000000001
2023-01-03 20:52:00,7.192208000000001
2023-01-03 20:53:00,7.2894
2023-01-03 20:54:00,7.386592
2023-01-03 20:55:00,7.386592
2023-01-03 20:56:00,7.483784
2023-01-03 20:57:00,7.483784
2023-01-03 20:58:00,7.386592
2023-01-03 20:59:00,7.2894
2023-01-03 21:00:00,7.2894
2023-01-03 21:01:00,7.095015999999999
2023-01-03 21:02:00,7.192208000000001
2023-01-03 21:03:00,7.095016000000001
2023-01-03 21:04:00,7.192208000000001
2023-01-03 21:05:00,7.2894
2023-01-03 21:06:00,7.2894
2023-01-03 21:07:00,7.386592
2023-01-03 21:08:00,7.386592
2023-01-03 21:09:00,7.580976
2023-01-03 21:10:00,7.678168000000001
2023-01-03 21:11:00,7.775359999999999
2023-01-03 21:12:00,7.483784
2023-01-03 21:13:00,7.483784
2023-01-03 21:14:00,7.386592
2023-01-03 21:15:00,7.2894
2023-01-03 21:16:00,7.289399999999999
2023-01-03 21:17:00,7.213806222222222
2023-01-03 21:18:00,7.10581511111111
2023-01-03 21:19:00,6.889832888888889
2023-01-03 21:20:00,6.781841777777778
2023-01-03 21:21:00,6.673850666666668
2023-01-03 21:22:00,6.673850666666668
2023-01-03 21:23:00,6.565859555555557
2023-01-03 21:24:00,6.565859555555556
2023-01-03 21:25:00,6.457868444444445
2023-01-03 21:26:00,6.349877333333335
2023-01-03 21:27:00,6.414672
2023-01-03 21:28:00,6.511864000000001
2023-01-03 21:29:00,6.609056000000001
2023-01-03 21:30:00,6.609056000000001
2023-01-03 21:31:00,6.511864
2023-01-03 21:32:00,6.511864
2023-01-03 21:33:00,6.511864
2023-01-03 21:34:00,6.414672000000001
2023-01-03 21:35:00,6.414672
2023-01-03 21:36:00,6.414672000000001
2023-01-03 21:37:00,6.317480000000001
2023-01-03 21:38:00,6.220288000000001
2023-01-03 21:39:00,6.123096000000001
2023-01-03 21:40:00,6.025904000000001
2023-01-03 21:41:00,6.025904000000001
2023-01-03 21:42:00,6.025904000000001
2023-01-03 21:43:00,6.025904000000001
2023-01-03 21:44:00,6.025904000000001
2023-01-03 21:45:00,6.025904000000001
2023-01-03 21:46:00,6.025904000000001
2023-01-03 21:47:00,6.025904000000001
2023-01-03 21:48:00,6.123096
2023-01-03 21:49:00,6.317480000000001
2023-01-03 21:50:00,6.414672
2023-01-03 21:51:00,6.609056000000001
